Code,Description,Category
110,"Homicide","Homicide"
113,"Manslaughter","Homicide"
121,"Rape","Rape"
122,"Attempted Rape","Rape"
815,"Sexual Penetration w/ Foreign Object","Rape"
820,"Oral Copulation","Rape"
821,"Sodomy","Rape"
210,"Robbery","Robbery"
220,"Robbery - attempted","Robbery"
230,"ADW","Aggrevated Assault"
231,"ADW against LAPD Police Officer","Aggrevated Assault"
235,"Child beating","Aggrevated Assault"
236,"Spousal beating","Aggrevated Assault"
250,"Shots Fired","Aggrevated Assault"
251,"Shots fired inhabited dwelling","Aggrevated Assault"
761,"Brandishing","Aggrevated Assault"
926,"Train Wrecking","Aggrevated Assault"
435,"Lynching","Simple Assault"
436,"Lynching - attempted","Simple Assault"
437,"Resisting Arrest","Simple Assault"
622,"Battery on Firefighter","Simple Assault"
623,"Battery on Police Officer","Simple Assault"
624,"Battery - misdemeanor","Simple Assault"
110,"Homicide","Homicide"
113,"Manslaughter","Homicide"
121,"Rape","Rape"
122,"Attempted Rape","Rape"
210,"Robbery","Robbery"
220,"Robbery - attempted","Robbery"
230,"ADW","Aggrevated Assault"
231,"ADW against LAPD Police Officer","Aggrevated Assault"
235,"Child beating","Aggrevated Assault"
236,"Spousal beating","Aggrevated Assault"
250,"Shots Fired","Aggrevated Assault"
251,"Shots fired inhabited dwelling","Aggrevated Assault"
310,"Burglary","Burglary"
320,"Burglary - attempted","Burglary"
330,"Burg from Vehicle","Burglary Theft From Vehicle"
331,"Theft from vehicle - $950.01 & over","Burglary Theft From Vehicle"
341,"Theft - $950.01 & over","Other Theft"
343,"Shoplifting - $950.01 & over","Other Theft"
345,"Dishonest employee - grand theft","Other Theft"
350,"Theft from person","Personal Theft"
351,"Pursesnatch","Personal Theft"
352,"Pickpocket","Personal Theft"
353,"Drunkroll","Personal Theft"
410,"Burg from Vehicle - attempted","Burglary Theft From Vehicle"
420,"Theft from vehicle - $950 & under","Burglary Theft From Vehicle"
421,"Theft from vehicle attempted","Burglary Theft From Vehicle"
433,"DWOC","Motor Vehicle Theft"
435,"Lynching","Simple Assault"
436,"Lynching - attempted","Simple Assault"
437,"Resisting Arrest","Simple Assault"
440,"Theft - $950 & under","Other Theft"
441,"Theft - attempted","Other Theft"
442,"Shoplifting - $950 & under","Other Theft"
443,"Shoplifting - attempted","Other Theft"
444,"Dishonest employee - petty theft","Other Theft"
445,"Dishonest Employee - attempted","Other Theft"
450,"Theft from person - attempted","Personal Theft"
451,"Pursesnatch - attempted","Personal Theft"
452,"Pickpocket - attempted","Personal Theft"
453,"Drunkroll - attempted","Personal Theft"
470,"Till Tap - $950.01 & over","Other Theft"
471,"Till Tap - $950 & under","Other Theft"
472,"Till Tap - attempted","Other Theft"
473,"Theft from coin m/c - $950.01 & over","Other Theft"
474,"Theft from coin m/c - $950 & under","Other Theft"
475,"Theft from coin m/c - attempted","Other Theft"
480,"Bicycle - stolen","Other Theft"
485,"Bicycle - attempted stolen","Other Theft"
487,"Boat - stolen","Other Theft"
491,"Boat - attempted stolen","Other Theft"
510,"Stolen Vehicle","Motor Vehicle Theft"
520,"Stolen Vehicle - attempted","Motor Vehicle Theft"
622,"Battery on Firefighter","Simple Assault"
623,"Battery on Police Officer","Simple Assault"
624,"Battery - misdemeanor","Simple Assault"
625,"Other Misd. Assault","Simple Assault"
626,"Spousal/Cohab Abuse - Simple Assault","Simple Assault"
627,"Child Abuse - Simple Assault","Simple Assault"
647,"Throwing substance at vehicle","Simple Assault"
761,"Brandishing","Aggrevated Assault"
763,"Stalking","Simple Assault"
815,"Sexual Penetration w/ Foreign Object","Rape"
820,"Oral Copulation","Rape"
821,"Sodomy","Rape"
926,"Train Wrecking","Aggrevated Assault"
928,"Threatening Phone Calls / Letters","Simple Assault"
930,"Criminal Threats","Simple Assault"
